date,id,habitat,site,video.file,time,species,tl,bite_on,bites
1.12.17,1,Flat,Bird,GOPR0153,1:04:31,Pomacentrus chrysurus,6,Propagules,1
1.12.17,1,Flat,Bird,GO010153,1:04:31,Pomacentrus chrysurus,6,Turf,1
1.12.17,1,Flat,Bird,GO010153,,Pomacentrus chrysurus,6,Turf,1
1.12.17,1,Flat,Bird,GO020153,0:56:50,Pomacentrus chrysurus,6,Propagules,1
1.12.17,1,Flat,Bird,GO020153,,Pomacentrus chrysurus,6,Turf,2
1.12.17,2,Flat,Bird,GOPR0001,0:26:16,Ecsenius stictus,3,Turf,13
1.12.17,2,Flat,Bird,GOPR0001,,Salarias fasciatus,8,Propagules,9
1.12.17,2,Flat,Bird,GOPR0001,,Ecsenius stictus,4,Turf,25
1.12.17,2,Flat,Bird,GOPR0001,,Ecsenius stictus,3,Turf,11
1.12.17,2,Flat,Bird,GOPR0001,,Ecsenius stictus,4,Turf,27
1.12.17,2,Flat,Bird,GOPR0001,,Salarias fasciatus,8,Turf,11
1.12.17,2,Flat,Bird,GP010001,0:26:16,Salarias fasciatus,8,Propagules,5
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,4,Turf,7
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,4,Propagules,9
1.12.17,2,Flat,Bird,GP010001,,Salarias fasciatus,8,Propagules,2
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,4,Turf,19
1.12.17,2,Flat,Bird,GP010001,,Salarias fasciatus,8,Propagules,15
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,3,Turf,14
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,4,Turf,12
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,3,Turf,12
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,4,Propagules,17
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,3,Turf,12
1.12.17,2,Flat,Bird,GP010001,,Ecsenius stictus,4,Turf,7
1.12.17,2,Flat,Bird,GP020001,0:26:16,Salarias fasciatus,8,Turf,13
1.12.17,2,Flat,Bird,GP020001,,Ecsenius stictus,4,Propagules,11
1.12.17,2,Flat,Bird,GP020001,,Ecsenius stictus,4,Turf,9
1.12.17,2,Flat,Bird,GP020001,,Salarias fasciatus,8,Propagules,8
1.12.17,2,Flat,Bird,GP020001,,Salarias fasciatus,8,Turf,13
1.12.17,2,Flat,Bird,GP020001,,Ecsenius stictus,4,Turf,7
1.12.17,2,Flat,Bird,GP020001,,Salarias fasciatus,8,Propagules,15
1.12.17,2,Flat,Bird,GP020001,,Ecsenius stictus,4,Propagules,15
1.12.17,2,Flat,Bird,GP020001,,Salarias fasciatus,8,Turf,18
1.12.17,2,Flat,Bird,GP030001,0:26:16,Ecsenius stictus,4,Propagules,13
1.12.17,2,Flat,Bird,GP030001,,Ecsenius stictus,3,Propagules,8
1.12.17,2,Flat,Bird,GP030001,,Ecsenius stictus,3,Turf,28
1.12.17,2,Flat,Bird,GP030001,,Salarias fasciatus,8,Propagules,16
1.12.17,2,Flat,Bird,GP030001,,Salarias fasciatus,8,Propagules,6
1.12.17,2,Flat,Bird,GP030001,,Salarias fasciatus,8,Turf,11
1.12.17,2,Flat,Bird,GP030001,,Ecsenius stictus,3,Turf,23
1.12.17,2,Flat,Bird,GP030001,,Salarias fasciatus,8,Propagules,9
1.12.17,2,Flat,Bird,GP030001,,Ecsenius stictus,3,Turf,47
1.12.17,2,Flat,Bird,GP030001,,Ecsenius stictus,3,Turf,20
1.12.17,2,Flat,Bird,GP030001,,Ecsenius stictus,3,Propagules,2
1.12.17,2,Flat,Bird,GP030001,,Salarias fasciatus,8,Propagules,16
1.12.17,2,Flat,Bird,GP040001,0:26:16,Ecsenius stictus,4,Turf,9
1.12.17,2,Flat,Bird,GP040001,,Ecsenius stictus,4,Turf,8
1.12.17,2,Flat,Bird,GP040001,,Salarias fasciatus,8,Turf,4
1.12.17,2,Flat,Bird,GP040001,,Ecsenius stictus,4,Turf,14
1.12.17,2,Flat,Bird,GP040001,,Salarias fasciatus,8,Turf,15
1.12.17,2,Flat,Bird,GP040001,,Ecsenius stictus,3,Turf,13
1.12.17,2,Flat,Bird,GP040001,,Ecsenius stictus,3,Turf,5
1.12.17,2,Flat,Bird,GP040001,,Ecsenius stictus,3,Propagules,4
1.12.17,2,Flat,Bird,GP050001,0:26:16,Ecsenius stictus,3,Propagules,3
1.12.17,2,Flat,Bird,GP050001,,Salarias fasciatus,8,Turf,11
1.12.17,2,Flat,Bird,GP050001,,Salarias fasciatus,8,Propagules,5
